fund_name,fund_id,month,monthly_net_flow
Value Opportunities Fund 06,6,2022-10-01,-915776.94
Active Growth Fund 10,10,2022-11-01,1415185.82
Active Growth Fund 14,14,2022-11-01,-402015.62
Active Growth Fund 17,17,2022-11-01,809858.67
Core Equity ETF Fund 12,12,2022-11-01,4075163.29
Core Equity ETF Fund 27,27,2022-11-01,5134572.98
Core Equity ETF Fund 38,38,2022-11-01,-1991100.55
Core Plus Bond Fund 21,21,2022-11-01,3806418.9
Core Plus Bond Fund 40,40,2022-11-01,1406758.53
Core Plus Bond Fund 43,43,2022-11-01,-3771396.78
Dividend ETF Fund 09,9,2022-11-01,3769574.44
Dividend ETF Fund 23,23,2022-11-01,-610087.22
Dividend ETF Fund 28,28,2022-11-01,-899743.83
Federal Money Market Fund 25,25,2022-11-01,-2804639.48
Global Equity Fund 36,36,2022-11-01,-755580.04
Global Equity Fund 50,50,2022-11-01,412725.97
Growth ETF Fund 03,3,2022-11-01,8013573.28
Growth ETF Fund 22,22,2022-11-01,3999710.14
Growth ETF Fund 37,37,2022-11-01,-1359337.31
Growth ETF Fund 42,42,2022-11-01,-1479832.33
Growth ETF Fund 46,46,2022-11-01,5914970.72
International ETF Fund 24,24,2022-11-01,2893531.3
International ETF Fund 33,33,2022-11-01,4503209.49
International ETF Fund 44,44,2022-11-01,6310265.56
International ETF Fund 45,45,2022-11-01,6606221.45
International Index Fund 19,19,2022-11-01,8290573.17
International Index Fund 26,26,2022-11-01,2630137.18
International Index Fund 49,49,2022-11-01,-2253758.05
Large Cap Index Fund 07,7,2022-11-01,8251563.21
Large Cap Index Fund 08,8,2022-11-01,-1561487.24
Large Cap Index Fund 18,18,2022-11-01,-410313.73
Large Cap Index Fund 48,48,2022-11-01,-1102923.01
Municipal Bond Fund 13,13,2022-11-01,-2149762.51
Municipal Bond Fund 30,30,2022-11-01,2204786.62
Municipal Bond Fund 31,31,2022-11-01,4550094.81
Prime Cash Reserves Fund 02,2,2022-11-01,3827865.06
Prime Cash Reserves Fund 29,29,2022-11-01,-1064416.73
Prime Cash Reserves Fund 51,51,2022-11-01,4813038.42
Short Term Bond Fund 32,32,2022-11-01,5968883.94
Short Term Bond Fund 41,41,2022-11-01,-2053131.17
Small Cap Index Fund 01,1,2022-11-01,3378464.05
Small Cap Index Fund 20,20,2022-11-01,4341102.68
Small Cap Index Fund 35,35,2022-11-01,-68321.98
Target Retirement 2030 Fund 16,16,2022-11-01,10234943.14
Target Retirement 2030 Fund 34,34,2022-11-01,10135803.55
Target Retirement 2040 Fund 15,15,2022-11-01,6620442.12
Target Retirement 2040 Fund 52,52,2022-11-01,5450437.56
Target Retirement 2050 Fund 05,5,2022-11-01,5190726.83
Total Bond Fund 04,4,2022-11-01,3079257.11
Total Market Index Fund 11,11,2022-11-01,3462366.49
Total Market Index Fund 39,39,2022-11-01,-1392557.41
Total Market Index Fund 47,47,2022-11-01,5279679.62
Value Opportunities Fund 06,6,2022-11-01,1903987.41
Active Growth Fund 10,10,2022-12-01,1807470.14
Active Growth Fund 14,14,2022-12-01,2299179.61
Active Growth Fund 17,17,2022-12-01,457338.15
Core Equity ETF Fund 12,12,2022-12-01,1041163.8
Core Equity ETF Fund 27,27,2022-12-01,15081940.7
Core Equity ETF Fund 38,38,2022-12-01,15202212.66
Core Plus Bond Fund 21,21,2022-12-01,3494698.66
Core Plus Bond Fund 40,40,2022-12-01,8310719.0
Core Plus Bond Fund 43,43,2022-12-01,5332019.58
Dividend ETF Fund 09,9,2022-12-01,1774970.24
Dividend ETF Fund 23,23,2022-12-01,14257824.06
Dividend ETF Fund 28,28,2022-12-01,-102610.58
Federal Money Market Fund 25,25,2022-12-01,-356947.67
Global Equity Fund 36,36,2022-12-01,2388323.44
Global Equity Fund 50,50,2022-12-01,-4747509.88
Growth ETF Fund 03,3,2022-12-01,-917229.27
Growth ETF Fund 22,22,2022-12-01,1644561.83
Growth ETF Fund 37,37,2022-12-01,1998469.92
Growth ETF Fund 42,42,2022-12-01,-3090907.09
Growth ETF Fund 46,46,2022-12-01,4637502.83
International ETF Fund 24,24,2022-12-01,-4925934.99
International ETF Fund 33,33,2022-12-01,-6344483.01
International ETF Fund 44,44,2022-12-01,-2295272.37
International ETF Fund 45,45,2022-12-01,7630509.67
International Index Fund 19,19,2022-12-01,-593327.86
International Index Fund 26,26,2022-12-01,7388430.46
International Index Fund 49,49,2022-12-01,7487489.69
Large Cap Index Fund 07,7,2022-12-01,13222162.85
Large Cap Index Fund 08,8,2022-12-01,3242981.21
Large Cap Index Fund 18,18,2022-12-01,3367780.54
Large Cap Index Fund 48,48,2022-12-01,5081434.43
Municipal Bond Fund 13,13,2022-12-01,-2082575.84
Municipal Bond Fund 30,30,2022-12-01,-893520.2
Municipal Bond Fund 31,31,2022-12-01,-2452956.7
Prime Cash Reserves Fund 02,2,2022-12-01,2790014.62
Prime Cash Reserves Fund 29,29,2022-12-01,991484.78
Prime Cash Reserves Fund 51,51,2022-12-01,5414993.49
Short Term Bond Fund 32,32,2022-12-01,-2661950.15
Short Term Bond Fund 41,41,2022-12-01,3823936.43
Small Cap Index Fund 01,1,2022-12-01,2484684.35
Small Cap Index Fund 20,20,2022-12-01,5322664.41
Small Cap Index Fund 35,35,2022-12-01,-6878446.16
Target Retirement 2030 Fund 16,16,2022-12-01,10619142.1
Target Retirement 2030 Fund 34,34,2022-12-01,8256247.33
Target Retirement 2040 Fund 15,15,2022-12-01,6668928.66
Target Retirement 2040 Fund 52,52,2022-12-01,4317370.21
Target Retirement 2050 Fund 05,5,2022-12-01,7411228.89
Total Bond Fund 04,4,2022-12-01,123470.11
Total Market Index Fund 11,11,2022-12-01,2708172.47
Total Market Index Fund 39,39,2022-12-01,1755100.57
Total Market Index Fund 47,47,2022-12-01,6143626.07
Value Opportunities Fund 06,6,2022-12-01,-1585963.93
Active Growth Fund 10,10,2023-01-01,2636361.16
Active Growth Fund 14,14,2023-01-01,465639.95
Active Growth Fund 17,17,2023-01-01,-2077658.17
Core Equity ETF Fund 12,12,2023-01-01,5246452.76
Core Equity ETF Fund 27,27,2023-01-01,3694851.73
Core Equity ETF Fund 38,38,2023-01-01,10112004.8
Core Plus Bond Fund 21,21,2023-01-01,2812326.42
Core Plus Bond Fund 40,40,2023-01-01,-661698.86
Core Plus Bond Fund 43,43,2023-01-01,-802046.02
Dividend ETF Fund 09,9,2023-01-01,3032260.26
Dividend ETF Fund 23,23,2023-01-01,6617062.58
Dividend ETF Fund 28,28,2023-01-01,3254795.75
Federal Money Market Fund 25,25,2023-01-01,3404636.96
Global Equity Fund 36,36,2023-01-01,581077.22
Global Equity Fund 50,50,2023-01-01,-1256520.52
Growth ETF Fund 03,3,2023-01-01,3444324.54
Growth ETF Fund 22,22,2023-01-01,8517674.39
Growth ETF Fund 37,37,2023-01-01,8979474.31
Growth ETF Fund 42,42,2023-01-01,1826195.9
Growth ETF Fund 46,46,2023-01-01,8068211.01
International ETF Fund 24,24,2023-01-01,7004876.41
International ETF Fund 33,33,2023-01-01,-2027554.77
International ETF Fund 44,44,2023-01-01,-1534065.34
International ETF Fund 45,45,2023-01-01,10836911.88
International Index Fund 19,19,2023-01-01,11832970.07
International Index Fund 26,26,2023-01-01,6080665.08
International Index Fund 49,49,2023-01-01,-6454594.28
Large Cap Index Fund 07,7,2023-01-01,-570849.67
Large Cap Index Fund 08,8,2023-01-01,9037264.77
Large Cap Index Fund 18,18,2023-01-01,-146484.64
Large Cap Index Fund 48,48,2023-01-01,7937693.91
Municipal Bond Fund 13,13,2023-01-01,3813125.96
Municipal Bond Fund 30,30,2023-01-01,-70121.76
Municipal Bond Fund 31,31,2023-01-01,12877471.08
Prime Cash Reserves Fund 02,2,2023-01-01,3006960.04
Prime Cash Reserves Fund 29,29,2023-01-01,1140126.34
Prime Cash Reserves Fund 51,51,2023-01-01,4566481.28
Short Term Bond Fund 32,32,2023-01-01,1452924.25
Short Term Bond Fund 41,41,2023-01-01,3821101.93
Small Cap Index Fund 01,1,2023-01-01,4390325.39
Small Cap Index Fund 20,20,2023-01-01,-4763032.41
Small Cap Index Fund 35,35,2023-01-01,-8525105.31
Target Retirement 2030 Fund 16,16,2023-01-01,3649851.09
Target Retirement 2030 Fund 34,34,2023-01-01,10329273.05
Target Retirement 2040 Fund 15,15,2023-01-01,11525434.92
Target Retirement 2040 Fund 52,52,2023-01-01,10796018.42
Target Retirement 2050 Fund 05,5,2023-01-01,9622031.55
Total Bond Fund 04,4,2023-01-01,1696965.12
Total Market Index Fund 11,11,2023-01-01,4481912.35
Total Market Index Fund 39,39,2023-01-01,863464.95
Total Market Index Fund 47,47,2023-01-01,4497780.68
Value Opportunities Fund 06,6,2023-01-01,-1820427.67
Active Growth Fund 10,10,2023-02-01,3779412.29
Active Growth Fund 14,14,2023-02-01,4164380.34
Active Growth Fund 17,17,2023-02-01,-441389.48
Core Equity ETF Fund 12,12,2023-02-01,557879.0
Core Equity ETF Fund 27,27,2023-02-01,15043032.93
Core Equity ETF Fund 38,38,2023-02-01,5095928.26
Core Plus Bond Fund 21,21,2023-02-01,7957466.85
Core Plus Bond Fund 40,40,2023-02-01,9578607.33
Core Plus Bond Fund 43,43,2023-02-01,5784855.04
Dividend ETF Fund 09,9,2023-02-01,5097588.32
Dividend ETF Fund 23,23,2023-02-01,7060793.37
Dividend ETF Fund 28,28,2023-02-01,4346042.93
Federal Money Market Fund 25,25,2023-02-01,2893261.24
Global Equity Fund 36,36,2023-02-01,6918286.06
Global Equity Fund 50,50,2023-02-01,158986.26
Growth ETF Fund 03,3,2023-02-01,3018228.38
Growth ETF Fund 22,22,2023-02-01,1851129.78
Growth ETF Fund 37,37,2023-02-01,3142799.0
Growth ETF Fund 42,42,2023-02-01,927234.39
Growth ETF Fund 46,46,2023-02-01,7305228.52
International ETF Fund 24,24,2023-02-01,2657270.53
International ETF Fund 33,33,2023-02-01,-2596742.76
International ETF Fund 44,44,2023-02-01,-1413086.12
International ETF Fund 45,45,2023-02-01,3682093.22
International Index Fund 19,19,2023-02-01,301190.99
International Index Fund 26,26,2023-02-01,8831401.13
International Index Fund 49,49,2023-02-01,2026859.49
Large Cap Index Fund 07,7,2023-02-01,3637529.06
Large Cap Index Fund 08,8,2023-02-01,5776623.3
Large Cap Index Fund 18,18,2023-02-01,2377055.08
Large Cap Index Fund 48,48,2023-02-01,3415491.57
Municipal Bond Fund 13,13,2023-02-01,2676085.18
Municipal Bond Fund 30,30,2023-02-01,6737424.92
Municipal Bond Fund 31,31,2023-02-01,-1175649.09
Prime Cash Reserves Fund 02,2,2023-02-01,-7158194.67
Prime Cash Reserves Fund 29,29,2023-02-01,5147351.56
Prime Cash Reserves Fund 51,51,2023-02-01,-7334848.01
Short Term Bond Fund 32,32,2023-02-01,3380536.75
Short Term Bond Fund 41,41,2023-02-01,2006947.47
Small Cap Index Fund 01,1,2023-02-01,-274250.62
Small Cap Index Fund 20,20,2023-02-01,347638.42
Small Cap Index Fund 35,35,2023-02-01,6086495.22
Target Retirement 2030 Fund 16,16,2023-02-01,5269436.16
Target Retirement 2030 Fund 34,34,2023-02-01,7166771.67
Target Retirement 2040 Fund 15,15,2023-02-01,8773908.75
Target Retirement 2040 Fund 52,52,2023-02-01,6230649.79
Target Retirement 2050 Fund 05,5,2023-02-01,11227177.62
Total Bond Fund 04,4,2023-02-01,-610853.24
Total Market Index Fund 11,11,2023-02-01,4815149.43
Total Market Index Fund 39,39,2023-02-01,-7400476.07
Total Market Index Fund 47,47,2023-02-01,-5818789.05
Value Opportunities Fund 06,6,2023-02-01,1302148.62
Active Growth Fund 10,10,2023-03-01,840536.03
Active Growth Fund 14,14,2023-03-01,3533869.05
Active Growth Fund 17,17,2023-03-01,-233178.5
Core Equity ETF Fund 12,12,2023-03-01,20318911.73
Core Equity ETF Fund 27,27,2023-03-01,-228842.94
Core Equity ETF Fund 38,38,2023-03-01,1635192.34
Core Plus Bond Fund 21,21,2023-03-01,13251415.95
Core Plus Bond Fund 40,40,2023-03-01,1511671.66
Core Plus Bond Fund 43,43,2023-03-01,8645147.78
Dividend ETF Fund 09,9,2023-03-01,13540833.35
Dividend ETF Fund 23,23,2023-03-01,13140496.87
Dividend ETF Fund 28,28,2023-03-01,2574869.41
Federal Money Market Fund 25,25,2023-03-01,20394820.72
Global Equity Fund 36,36,2023-03-01,5718511.56
Global Equity Fund 50,50,2023-03-01,395638.78
Growth ETF Fund 03,3,2023-03-01,8649617.25
Growth ETF Fund 22,22,2023-03-01,21173421.09
Growth ETF Fund 37,37,2023-03-01,8986078.99
Growth ETF Fund 42,42,2023-03-01,6416889.27
Growth ETF Fund 46,46,2023-03-01,-276592.83
International ETF Fund 24,24,2023-03-01,2742576.73
International ETF Fund 33,33,2023-03-01,-1980412.69
International ETF Fund 44,44,2023-03-01,1789975.27
International ETF Fund 45,45,2023-03-01,20862272.89
International Index Fund 19,19,2023-03-01,13808547.38
International Index Fund 26,26,2023-03-01,4232468.44
International Index Fund 49,49,2023-03-01,6085779.65
Large Cap Index Fund 07,7,2023-03-01,-2206631.98
Large Cap Index Fund 08,8,2023-03-01,8470145.82
Large Cap Index Fund 18,18,2023-03-01,10313050.17
Large Cap Index Fund 48,48,2023-03-01,2477139.44
Municipal Bond Fund 13,13,2023-03-01,3474998.57
Municipal Bond Fund 30,30,2023-03-01,2549284.73
Municipal Bond Fund 31,31,2023-03-01,6438124.77
Prime Cash Reserves Fund 02,2,2023-03-01,26391635.9
Prime Cash Reserves Fund 29,29,2023-03-01,15524668.48
Prime Cash Reserves Fund 51,51,2023-03-01,3925417.77
Short Term Bond Fund 32,32,2023-03-01,11549049.83
Short Term Bond Fund 41,41,2023-03-01,-286815.73
Small Cap Index Fund 01,1,2023-03-01,13459475.16
Small Cap Index Fund 20,20,2023-03-01,7368491.17
Small Cap Index Fund 35,35,2023-03-01,13486459.61
Target Retirement 2030 Fund 16,16,2023-03-01,13009113.55
Target Retirement 2030 Fund 34,34,2023-03-01,12071446.67
Target Retirement 2040 Fund 15,15,2023-03-01,19665004.18
Target Retirement 2040 Fund 52,52,2023-03-01,10482562.52
Target Retirement 2050 Fund 05,5,2023-03-01,12622923.94
Total Bond Fund 04,4,2023-03-01,1313302.91
Total Market Index Fund 11,11,2023-03-01,18920187.64
Total Market Index Fund 39,39,2023-03-01,14254957.72
Total Market Index Fund 47,47,2023-03-01,5812269.56
Value Opportunities Fund 06,6,2023-03-01,5991579.74
Active Growth Fund 10,10,2023-04-01,-460734.54
Active Growth Fund 14,14,2023-04-01,11534767.77
Active Growth Fund 17,17,2023-04-01,714675.1
Core Equity ETF Fund 12,12,2023-04-01,-1725992.39
Core Equity ETF Fund 27,27,2023-04-01,14569676.7
Core Equity ETF Fund 38,38,2023-04-01,1902843.11
Core Plus Bond Fund 21,21,2023-04-01,6478773.5
Core Plus Bond Fund 40,40,2023-04-01,-6073506.79
Core Plus Bond Fund 43,43,2023-04-01,-1736891.08
Dividend ETF Fund 09,9,2023-04-01,14102288.37
Dividend ETF Fund 23,23,2023-04-01,8757099.67
Dividend ETF Fund 28,28,2023-04-01,9445668.7
Federal Money Market Fund 25,25,2023-04-01,4963711.41
Global Equity Fund 36,36,2023-04-01,6579648.57
Global Equity Fund 50,50,2023-04-01,2702684.96
Growth ETF Fund 03,3,2023-04-01,8442711.07
Growth ETF Fund 22,22,2023-04-01,3273962.07
Growth ETF Fund 37,37,2023-04-01,12880551.28
Growth ETF Fund 42,42,2023-04-01,10091040.56
Growth ETF Fund 46,46,2023-04-01,4900509.46
International ETF Fund 24,24,2023-04-01,735401.53
International ETF Fund 33,33,2023-04-01,-522117.09
International ETF Fund 44,44,2023-04-01,7451515.02
International ETF Fund 45,45,2023-04-01,15958978.76
International Index Fund 19,19,2023-04-01,723921.42
International Index Fund 26,26,2023-04-01,96469.31
International Index Fund 49,49,2023-04-01,829432.25
Large Cap Index Fund 07,7,2023-04-01,7889701.56
Large Cap Index Fund 08,8,2023-04-01,8342350.42
Large Cap Index Fund 18,18,2023-04-01,-9727689.55
Large Cap Index Fund 48,48,2023-04-01,4070365.22
Municipal Bond Fund 13,13,2023-04-01,2559881.74
Municipal Bond Fund 30,30,2023-04-01,1954664.11
Municipal Bond Fund 31,31,2023-04-01,5653379.04
Prime Cash Reserves Fund 02,2,2023-04-01,16287144.64
Prime Cash Reserves Fund 29,29,2023-04-01,4451731.4
Prime Cash Reserves Fund 51,51,2023-04-01,12371301.14
Short Term Bond Fund 32,32,2023-04-01,-4129873.14
Short Term Bond Fund 41,41,2023-04-01,-204223.27
Small Cap Index Fund 01,1,2023-04-01,-9666079.31
Small Cap Index Fund 20,20,2023-04-01,3709207.42
Small Cap Index Fund 35,35,2023-04-01,8831111.87
Target Retirement 2030 Fund 16,16,2023-04-01,8379650.99
Target Retirement 2030 Fund 34,34,2023-04-01,10568005.19
Target Retirement 2040 Fund 15,15,2023-04-01,19547963.14
Target Retirement 2040 Fund 52,52,2023-04-01,11940679.0
Target Retirement 2050 Fund 05,5,2023-04-01,15598027.45
Total Bond Fund 04,4,2023-04-01,-166685.65
Total Market Index Fund 11,11,2023-04-01,5479198.07
Total Market Index Fund 39,39,2023-04-01,300811.68
Total Market Index Fund 47,47,2023-04-01,2669061.63
Value Opportunities Fund 06,6,2023-04-01,4465373.14
Active Growth Fund 10,10,2023-05-01,2208208.02
Active Growth Fund 14,14,2023-05-01,2069414.89
Active Growth Fund 17,17,2023-05-01,974934.81
Core Equity ETF Fund 12,12,2023-05-01,3281627.49
Core Equity ETF Fund 27,27,2023-05-01,7652082.23
Core Equity ETF Fund 38,38,2023-05-01,5459640.65
Core Plus Bond Fund 21,21,2023-05-01,2113983.36
Core Plus Bond Fund 40,40,2023-05-01,7674467.71
Core Plus Bond Fund 43,43,2023-05-01,12746534.44
Dividend ETF Fund 09,9,2023-05-01,9169099.21
Dividend ETF Fund 23,23,2023-05-01,15302531.96
Dividend ETF Fund 28,28,2023-05-01,-5391561.71
Federal Money Market Fund 25,25,2023-05-01,1297791.06
Global Equity Fund 36,36,2023-05-01,5535890.29
Global Equity Fund 50,50,2023-05-01,-1412003.53
Growth ETF Fund 03,3,2023-05-01,7580165.0
Growth ETF Fund 22,22,2023-05-01,11550378.8
Growth ETF Fund 37,37,2023-05-01,9605980.32
Growth ETF Fund 42,42,2023-05-01,9946851.52
Growth ETF Fund 46,46,2023-05-01,5506113.85
International ETF Fund 24,24,2023-05-01,-2970905.52
International ETF Fund 33,33,2023-05-01,7787147.15
International ETF Fund 44,44,2023-05-01,264093.07
International ETF Fund 45,45,2023-05-01,9056810.14
International Index Fund 19,19,2023-05-01,5420107.3
International Index Fund 26,26,2023-05-01,7599964.0
International Index Fund 49,49,2023-05-01,2901696.18
Large Cap Index Fund 07,7,2023-05-01,11287244.82
Large Cap Index Fund 08,8,2023-05-01,10003220.19
Large Cap Index Fund 18,18,2023-05-01,3967692.32
Large Cap Index Fund 48,48,2023-05-01,2692124.29
Municipal Bond Fund 13,13,2023-05-01,2819723.07
Municipal Bond Fund 30,30,2023-05-01,3443646.06
Municipal Bond Fund 31,31,2023-05-01,2561494.82
Prime Cash Reserves Fund 02,2,2023-05-01,4003975.53
Prime Cash Reserves Fund 29,29,2023-05-01,1251471.77
Prime Cash Reserves Fund 51,51,2023-05-01,-3429393.61
Short Term Bond Fund 32,32,2023-05-01,-393720.88
Short Term Bond Fund 41,41,2023-05-01,-7232420.81
Small Cap Index Fund 01,1,2023-05-01,4835580.98
Small Cap Index Fund 20,20,2023-05-01,-8575163.46
Small Cap Index Fund 35,35,2023-05-01,2601242.7
Target Retirement 2030 Fund 16,16,2023-05-01,9864628.09
Target Retirement 2030 Fund 34,34,2023-05-01,11957843.22
Target Retirement 2040 Fund 15,15,2023-05-01,15848876.01
Target Retirement 2040 Fund 52,52,2023-05-01,10643089.76
Target Retirement 2050 Fund 05,5,2023-05-01,10183067.28
Total Bond Fund 04,4,2023-05-01,5919306.93
Total Market Index Fund 11,11,2023-05-01,-3903637.34
Total Market Index Fund 39,39,2023-05-01,5584543.38
Total Market Index Fund 47,47,2023-05-01,5875789.76
Value Opportunities Fund 06,6,2023-05-01,-2759419.0
Active Growth Fund 10,10,2023-06-01,7338001.52
Active Growth Fund 14,14,2023-06-01,8592040.29
Active Growth Fund 17,17,2023-06-01,921798.94
Core Equity ETF Fund 12,12,2023-06-01,5135753.15
Core Equity ETF Fund 27,27,2023-06-01,3760202.37
Core Equity ETF Fund 38,38,2023-06-01,13009402.01
Core Plus Bond Fund 21,21,2023-06-01,-13092615.21
Core Plus Bond Fund 40,40,2023-06-01,1375767.4
Core Plus Bond Fund 43,43,2023-06-01,3299287.71
Dividend ETF Fund 09,9,2023-06-01,5360842.25
Dividend ETF Fund 23,23,2023-06-01,2725916.22
Dividend ETF Fund 28,28,2023-06-01,-24066679.67
Federal Money Market Fund 25,25,2023-06-01,10129538.43
Global Equity Fund 36,36,2023-06-01,12666218.22
Global Equity Fund 50,50,2023-06-01,-334431.92
Growth ETF Fund 03,3,2023-06-01,2057277.11
Growth ETF Fund 22,22,2023-06-01,-45481583.59
Growth ETF Fund 37,37,2023-06-01,596249.88
Growth ETF Fund 42,42,2023-06-01,9025985.56
Growth ETF Fund 46,46,2023-06-01,10928512.68
International ETF Fund 24,24,2023-06-01,4047824.88
International ETF Fund 33,33,2023-06-01,-7987685.55
International ETF Fund 44,44,2023-06-01,9426052.74
International ETF Fund 45,45,2023-06-01,14457889.39
International Index Fund 19,19,2023-06-01,5116182.09
International Index Fund 26,26,2023-06-01,5316409.16
International Index Fund 49,49,2023-06-01,-2469185.84
Large Cap Index Fund 07,7,2023-06-01,-1379528.27
Large Cap Index Fund 08,8,2023-06-01,-53010.4
Large Cap Index Fund 18,18,2023-06-01,11575101.39
Large Cap Index Fund 48,48,2023-06-01,6602526.53
Municipal Bond Fund 13,13,2023-06-01,8825392.75
Municipal Bond Fund 30,30,2023-06-01,1829346.87
Municipal Bond Fund 31,31,2023-06-01,906431.96
Prime Cash Reserves Fund 02,2,2023-06-01,-755505.01
Prime Cash Reserves Fund 29,29,2023-06-01,11116408.88
Prime Cash Reserves Fund 51,51,2023-06-01,-17339528.59
Short Term Bond Fund 32,32,2023-06-01,-880211.67
Short Term Bond Fund 41,41,2023-06-01,1185638.02
Small Cap Index Fund 01,1,2023-06-01,-7496704.66
Small Cap Index Fund 20,20,2023-06-01,5884778.57
Small Cap Index Fund 35,35,2023-06-01,5926723.13
Target Retirement 2030 Fund 16,16,2023-06-01,8036827.12
Target Retirement 2030 Fund 34,34,2023-06-01,9639313.77
Target Retirement 2040 Fund 15,15,2023-06-01,2511278.85
Target Retirement 2040 Fund 52,52,2023-06-01,15111696.89
Target Retirement 2050 Fund 05,5,2023-06-01,9232831.33
Total Bond Fund 04,4,2023-06-01,5921483.38
Total Market Index Fund 11,11,2023-06-01,17725856.83
Total Market Index Fund 39,39,2023-06-01,2888964.68
Total Market Index Fund 47,47,2023-06-01,489876.23
Value Opportunities Fund 06,6,2023-06-01,-4934750.35
Active Growth Fund 10,10,2023-07-01,-1161818.05
Active Growth Fund 14,14,2023-07-01,2517333.15
Active Growth Fund 17,17,2023-07-01,4055907.13
Core Equity ETF Fund 12,12,2023-07-01,7192272.87
Core Equity ETF Fund 27,27,2023-07-01,8744839.9
Core Equity ETF Fund 38,38,2023-07-01,3385566.42
Core Plus Bond Fund 21,21,2023-07-01,6938466.9
Core Plus Bond Fund 40,40,2023-07-01,2894482.77
Core Plus Bond Fund 43,43,2023-07-01,8628982.13
Dividend ETF Fund 09,9,2023-07-01,13298543.2
Dividend ETF Fund 23,23,2023-07-01,14732747.21
Dividend ETF Fund 28,28,2023-07-01,1552710.97
Federal Money Market Fund 25,25,2023-07-01,1751211.31
Global Equity Fund 36,36,2023-07-01,2591489.74
Global Equity Fund 50,50,2023-07-01,417540.12
Growth ETF Fund 03,3,2023-07-01,6068885.72
Growth ETF Fund 22,22,2023-07-01,5011105.19
Growth ETF Fund 37,37,2023-07-01,-323700.58
Growth ETF Fund 42,42,2023-07-01,7554440.34
Growth ETF Fund 46,46,2023-07-01,12616531.7
International ETF Fund 24,24,2023-07-01,5909525.12
International ETF Fund 33,33,2023-07-01,4979580.76
International ETF Fund 44,44,2023-07-01,2503704.47
International ETF Fund 45,45,2023-07-01,17634046.99
International Index Fund 19,19,2023-07-01,-1088262.48
International Index Fund 26,26,2023-07-01,7790171.22
International Index Fund 49,49,2023-07-01,11265713.29
Large Cap Index Fund 07,7,2023-07-01,6890328.06
Large Cap Index Fund 08,8,2023-07-01,100913.47
Large Cap Index Fund 18,18,2023-07-01,8138642.47
Large Cap Index Fund 48,48,2023-07-01,7550520.37
Municipal Bond Fund 13,13,2023-07-01,11532568.04
Municipal Bond Fund 30,30,2023-07-01,6749277.48
Municipal Bond Fund 31,31,2023-07-01,5889400.07
Prime Cash Reserves Fund 02,2,2023-07-01,14427394.34
Prime Cash Reserves Fund 29,29,2023-07-01,6462065.04
Prime Cash Reserves Fund 51,51,2023-07-01,1410542.98
Short Term Bond Fund 32,32,2023-07-01,10015470.2
Short Term Bond Fund 41,41,2023-07-01,4811592.38
Small Cap Index Fund 01,1,2023-07-01,-4982265.06
Small Cap Index Fund 20,20,2023-07-01,-296504.12
Small Cap Index Fund 35,35,2023-07-01,9195065.01
Target Retirement 2030 Fund 16,16,2023-07-01,6326756.95
Target Retirement 2030 Fund 34,34,2023-07-01,11099416.98
Target Retirement 2040 Fund 15,15,2023-07-01,14730659.3
Target Retirement 2040 Fund 52,52,2023-07-01,15626160.55
Target Retirement 2050 Fund 05,5,2023-07-01,16338027.44
Total Bond Fund 04,4,2023-07-01,-1978210.59
Total Market Index Fund 11,11,2023-07-01,7009816.72
Total Market Index Fund 39,39,2023-07-01,10008576.73
Total Market Index Fund 47,47,2023-07-01,2304406.28
Value Opportunities Fund 06,6,2023-07-01,1201697.03
Active Growth Fund 10,10,2023-08-01,5089082.09
Active Growth Fund 14,14,2023-08-01,-209902.74
Active Growth Fund 17,17,2023-08-01,-2546489.12
Core Equity ETF Fund 12,12,2023-08-01,1061887.92
Core Equity ETF Fund 27,27,2023-08-01,16631879.52
Core Equity ETF Fund 38,38,2023-08-01,5119353.05
Core Plus Bond Fund 21,21,2023-08-01,590459.91
Core Plus Bond Fund 40,40,2023-08-01,-5103654.94
Core Plus Bond Fund 43,43,2023-08-01,5196904.29
Dividend ETF Fund 09,9,2023-08-01,10241070.58
Dividend ETF Fund 23,23,2023-08-01,30744987.86
Dividend ETF Fund 28,28,2023-08-01,-394466.69
Federal Money Market Fund 25,25,2023-08-01,-1174517.46
Global Equity Fund 36,36,2023-08-01,6833556.69
Global Equity Fund 50,50,2023-08-01,1529188.09
Growth ETF Fund 03,3,2023-08-01,16663351.34
Growth ETF Fund 22,22,2023-08-01,7075257.12
Growth ETF Fund 37,37,2023-08-01,-27850.18
Growth ETF Fund 42,42,2023-08-01,15408907.33
Growth ETF Fund 46,46,2023-08-01,7655198.21
International ETF Fund 24,24,2023-08-01,-3376738.89
International ETF Fund 33,33,2023-08-01,5689917.62
International ETF Fund 44,44,2023-08-01,3487427.79
International ETF Fund 45,45,2023-08-01,5336371.58
International Index Fund 19,19,2023-08-01,-5878715.88
International Index Fund 26,26,2023-08-01,3723711.83
International Index Fund 49,49,2023-08-01,-755522.37
Large Cap Index Fund 07,7,2023-08-01,9849816.09
Large Cap Index Fund 08,8,2023-08-01,6300884.61
Large Cap Index Fund 18,18,2023-08-01,7602785.22
Large Cap Index Fund 48,48,2023-08-01,9468314.23
Municipal Bond Fund 13,13,2023-08-01,5606006.28
Municipal Bond Fund 30,30,2023-08-01,13830045.99
Municipal Bond Fund 31,31,2023-08-01,-2167479.95
